kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
ispass-2009-BFS.5.sm_62.ptx 100 : 393216 1976779 0 0 0 0 0 0 29042 
ispass-2009-BFS.5.sm_62.ptx 99 : 393216 2741663 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 98 : 393216 3717592 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 97 : 393216 3871648 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 96 : 393216 3950048 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 93 : 126844 5331577 0 0 0 110115 48745 0 0 
ispass-2009-BFS.5.sm_62.ptx 92 : 126844 5054133 0 0 0 110115 48745 0 0 
ispass-2009-BFS.5.sm_62.ptx 91 : 126844 2041129 0 0 0 48745 48745 0 0 
ispass-2009-BFS.5.sm_62.ptx 90 : 126844 1999027 0 0 0 126762 48745 0 0 
ispass-2009-BFS.5.sm_62.ptx 89 : 126844 1274635 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 88 : 126844 1738669 0 0 0 126815 48745 0 0 
ispass-2009-BFS.5.sm_62.ptx 87 : 126844 1228961 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 86 : 126844 1171361 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 85 : 126844 1202324 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 84 : 126844 39989378 88832 0 0 93099 48745 0 0 
ispass-2009-BFS.5.sm_62.ptx 82 : 393216 1342693 0 0 0 0 0 0 30393 
ispass-2009-BFS.5.sm_62.ptx 81 : 393216 2391446 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 80 : 393216 505087886 0 0 0 392389 73417 0 0 
ispass-2009-BFS.5.sm_62.ptx 79 : 393216 3635115 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 78 : 393216 2466294 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 77 : 393216 282547642 228960 0 0 367332 73417 0 0 
ispass-2009-BFS.5.sm_62.ptx 74 : 65536 393360 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 73 : 65536 393387 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 72 : 65536 589904 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 71 : 65536 589874 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 70 : 65536 393335 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 69 : 65536 2376007 0 0 0 38821 8358 0 0 
ispass-2009-BFS.5.sm_62.ptx 47 : 655360 6713920 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 46 : 655360 4887360 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 45 : 655360 4853792 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 43 : 655360 0 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 42 : 655360 5616544 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 41 : 655360 7213120 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 40 : 655360 4476544 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 39 : 655360 4570464 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 38 : 655360 18267392 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 37 : 655360 10444032 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 32 : 655360 9175872 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 31 : 655360 8530688 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 68 : 65536 589950 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 33 : 655360 10365312 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 34 : 655360 10415168 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 35 : 655360 10485760 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 36 : 655360 10485760 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 48 : 655360 143121024 0 0 0 20480 20480 0 0 
ispass-2009-BFS.5.sm_62.ptx 49 : 655360 4058240 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 50 : 655360 3150639 0 0 0 0 0 0 8358 
ispass-2009-BFS.5.sm_62.ptx 103 : 655360 3301376 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 66 : 65536 393276 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 52 : 65536 411559 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 53 : 65536 1136417 0 0 0 8358 8358 0 0 
ispass-2009-BFS.5.sm_62.ptx 54 : 65536 504243 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 55 : 65536 659559 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 56 : 65536 436339 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 57 : 65536 1473561 0 0 0 8358 8358 0 0 
ispass-2009-BFS.5.sm_62.ptx 58 : 65536 541257 0 0 0 0 0 0 0 
ispass-2009-BFS.5.sm_62.ptx 59 : 65536 676086 0 0 0 0 0 0 0 
